inchi,smiles,Base_E,Base_ES_root_dipole,Base_ES_root_electronic_spatial_extent,Base_ES_root_molar_volume,Base_E_scf,Base_E_thermal_correction,Base_E_zpe,Base_G,Base_G_thermal_correction,Base_H,Base_H_thermal_correction,Base_charge,Base_converged,Base_dipole,Base_electronegativity,Base_electronic_spatial_extent,Base_hardness,Base_homo_energy,Base_lumo_energy,Base_molar_mass,Base_molar_volume,Base_multiplicity,Base_number_of_atoms,Base_zero_point_correction,Base_min_can,Base_min_APT_charge,Base_min_ES_root_Mulliken_charge,Base_min_ES_root_NPA_Rydberg,Base_min_ES_root_NPA_charge,Base_min_ES_root_NPA_core,Base_min_ES_root_NPA_total,Base_min_ES_root_NPA_valence,Base_min_Mulliken_charge,Base_min_NMR_anisotropy,Base_min_NMR_shift,Base_min_NPA_Rydberg,Base_min_NPA_charge,Base_min_NPA_core,Base_min_NPA_total,Base_min_NPA_valence,Base_min_VBur,Base_max_can,Base_max_APT_charge,Base_max_ES_root_Mulliken_charge,Base_max_ES_root_NPA_Rydberg,Base_max_ES_root_NPA_charge,Base_max_ES_root_NPA_core,Base_max_ES_root_NPA_total,Base_max_ES_root_NPA_valence,Base_max_Mulliken_charge,Base_max_NMR_anisotropy,Base_max_NMR_shift,Base_max_NPA_Rydberg,Base_max_NPA_charge,Base_max_NPA_core,Base_max_NPA_total,Base_max_NPA_valence,Base_max_VBur
"InChI=1S/CH2O3.2K/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2",[K]OC(=O)O[K],-1463.243147,0.3553,1187.2802,1202.797,-1463.2670287,0.023883,-1463.249608,-1463.28236,-0.01533,-1463.242202,0.024827,0,1.0,9.0683,0.08253,1128.9119,0.05668,-0.13921,-0.02585,138.2058,919.786,1.0,6.0,0.017422,[K]OC(=O)O[K],-1.075329,-0.639306,0.00654,-0.80705,1.99981,5.0432,0.42092,-0.797934,43.2302,30.8645,0.0067,-1.04215,1.99978,5.02481,0.04983,0.5560887350534928,[K]OC(=O)O[K],1.470929,0.799824,0.07908,0.9568,17.99675,18.48795,6.80066,0.745534,217.9634,1277.2417,0.07476,0.97519,17.99342,18.08208,7.03564,0.8082127123977344
"InChI=1S/3K.H3O4P/c;;;1-5(2,3)4/h;;;(H3,1,2,3,4)/q3*+1;/p-3",[K]OP(=O)(O[K])O[K],-2441.526277987285,2.141303531123962,2027.483305598858,1009.857807667931,-2441.548156128032,0.02825849364224739,-2441.535693995761,-2441.572790016954,-0.0182540339080139,-2441.525333987284,0.02920249364224739,0,1.0,1.446882327269016,0.07225993642247394,1984.454629466381,0.05860997880749131,-0.1308699152299652,-0.01364995761498262,212.2663,767.8890200597186,1.0,8.0,0.01884198728449479,[K]OP(=O)(O[K])O[K],-1.17638964651472,-0.7539577544533093,0.01039995761498263,-1.209515148347561,1.9999,8.968343792027003,0.2644205323977507,-0.8334788202932912,6.646764797559488,191.0363931067156,0.009284978807491313,-1.306346165587978,1.99989,9.300234088722126,0.03864979093901372,0.718571834899616,[K]OP(=O)(O[K])O[K],2.107300453233276,1.247257042385017,0.1746049364224739,2.355084809267422,17.99047786385277,18.38486631250349,7.199215190732579,1.250015116415593,117.3081696832745,1283.681500452491,0.17125,2.386274554957318,17.9880729274303,18.05957987284495,7.297176207972996,0.8835364092791127
"InChI=1S/C7H10N2/c1-9(2)7-3-5-8-6-4-7/h3-6H,1-2H3",CN(c1ccncc1)C,-381.7678820322059,8.009722705885421,1254.802487797076,1204.913749700377,-381.9330723646772,0.1722565645735308,-381.7765179355882,-381.8107698083824,0.1293693851764235,-381.7669380322059,0.1732005645735308,0,1.0,4.070873538298291,0.1023195958087999,1267.564208845528,0.110341209338227,-0.2126608051470268,0.008021613529427112,122.1694,1147.210893417058,1.0,19.0,0.163620661191174,CN(c1ccncc1)C,-0.8387512934118404,-0.4191152766618252,0.0005340322058810741,-0.5102483864705729,0.0,0.7347395169117839,0.7328095169117839,-0.5000284376912305,6.306138711764757,-18.61877951173693,0.00053,-0.4935583864705729,0.0,0.75392,0.7528840322058811,0.3151809846185774,CN(c1ccncc1)C,0.6642668435001174,0.3619041623235547,0.02920596779411893,0.2652604830882161,1.99951,7.379838550735352,5.357178550735352,0.3986370177206273,491.7179143881926,207.8679059309091,0.02361,0.24608,1.99948,7.490467259264736,5.468163227058854,0.6637162801245053
"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",CCN(CC)CC,-291.9524808162261,1.173571859834912,993.2304579205876,1285.708308185735,-292.1614535499474,0.2178393795805683,-291.9615666525896,-291.9949527057363,0.1753666657347078,-291.9515366405618,0.2187833795805683,0,1.0,0.6611337900433528,0.05878606574072817,982.4568815488633,0.1459837440593893,-0.2047698098001174,0.08719767831866111,101.1912,1339.848100609274,1.0,22.0,0.2087527188814487,CCN(CC)CC,-0.659427050032646,-0.4935428895252458,0.007969420957535675,-0.7318908223790538,0.0,0.7611758125709092,0.7329784615153062,-0.5357637678419,6.334472054492711,29.23764993022851,0.0006905398600556591,-0.7321118321771646,0.0,0.7538465902059029,0.7531560503458474,0.3032556870423566,CCN(CC)CC,0.3848210246067246,0.1646901670186897,0.0335969510395486,0.2388241874290908,1.999448243356658,7.027631365019936,5.019074749636092,0.1815096772163648,68.71774420824967,220.5532715130917,0.01799162797281385,0.2461534097940971,1.99945,7.515241012578937,5.500845331459382,0.6936423048307386
"InChI=1S/C8H19N/c1-6-9(7(2)3)8(4)5/h7-8H,6H2,1-5H3",CCN(C(C)C)C(C)C,-370.458903551818,1.502900548682947,1471.035456951585,1512.94262238998,-370.7254622097017,0.276716780584174,-370.470888643506,-370.5075534316874,0.2280668815315234,-370.457959551818,0.2776617419104678,0,0.9999999999999999,0.4012014707184905,0.05519375674746931,1454.498620054035,0.1417917127349796,-0.1969854694824489,0.08659795598751029,129.2448,1530.595751664636,0.9999999999999999,28.0,0.2647316888960619,CCN(C(C)C)C(C)C,-0.6928342795424964,-0.5203262398785945,0.004928950115999925,-0.7235934254699592,0.0,0.7526520697616126,0.7385548604504267,-0.5191364424804004,3.914069724859777,28.99841375931649,0.0006739346698177671,-0.7240788520642585,0.0,0.751552724566706,0.7502567084113557,0.3020354875072236,CCN(C(C)C)C(C)C,0.4072756100330068,0.1777655072613817,0.03593223686955527,0.2473479302383872,1.99943,7.038943343373407,5.027775332222305,0.1784338699435156,38.89316107450069,211.431318308462,0.01712340702939718,0.248447275433294,1.99945,7.536990250068835,5.521133149060081,0.7894696388613825
"InChI=1S/C8H8BrNO4S/c1-14-8(11)5-2-6(9)4-7(3-5)15(10,12)13/h2-4H,1H3,(H2,10,12,13)",COC(=O)c1cc(Br)cc(c1)S(=O)(=O)N,-3634.157072,3.664748807915196,5592.548558980372,1993.24586706975,-3634.316861030636,0.176642,-3634.172278,-3634.217616502384,0.1160979984105536,-3634.156128,0.177586,0,1.0,3.264407299131568,0.170154984105536,5510.427092011665,0.100800007947232,-0.270954992052768,-0.06935497615830392,294.1195,1864.05329107829,1.0,23.0,0.161436,COC(=O)c1cc(Br)cc(c1)S(=O)(=O)N,-0.8902484753635808,-0.850338976158304,0.00056,-1.119404944369376,0.0,0.5687340542793891,0.5678240701738531,-0.8584800047683392,7.7943,-46.94420063577856,0.00051,-1.130684992052768,0.0,0.5680349761583039,0.567159968211072,0.2778478279929519,COC(=O)c1cc(Br)cc(c1)S(=O)(=O)N,2.184559980926643,1.21611054212033,0.208484992052768,2.343395007947232,27.99886,34.67127513510295,6.921129998808944,1.221937505563063,1098.201046264801,2200.390353894144,0.20732,2.35097,27.99909,34.9067,6.925080937773378,0.6771160482439268
"InChI=1S/C5H5FN2O2S/c6-4-2-1-3-5(8-4)11(7,9)10/h1-3H,(H2,7,9,10)",Fc1cccc(n1)S(=O)(=O)N,-950.8021032987109,3.160367912356438,1920.538676196555,1509.811548961396,-950.9102650751903,0.1185649668710213,-950.8116383130504,-950.8472763628497,0.07339090280282592,-950.8011592986403,0.1195089669416588,0,0.9999999999999999,5.532463172581452,0.1779947838493077,1918.81852108781,0.1122551264410912,-0.2902499102903989,-0.06573965740821643,176.1651,1204.014206912961,0.9999999999999999,16.0,0.1090289526022501,Fc1cccc(n1)S(=O)(=O)N,-0.7956811847318338,-0.8182066551068207,0.0004900042382488688,-1.089461157748316,0.0,0.5640198113979252,0.5630798389465429,-0.8311510469329286,4.12529984459754,2.898559028432309,0.0005700042382488688,-1.115672181991793,0.0,0.5637802585331809,0.5627702853754237,0.3263059083051298,Fc1cccc(n1)S(=O)(=O)N,2.066224731748487,1.209299864093486,0.2076202882009231,2.313080661873198,9.998650002825498,13.6869193381268,7.307399548626495,1.205898976704452,380.8146310209218,263.2216279077333,0.2135500925351003,2.340900332702536,9.998689999999998,13.65909966729746,7.311089793738555,0.6607923791959913
"InChI=1S/C4H12N2O2S/c1-6(2)3-4-9(5,7)8/h3-4H2,1-2H3,(H2,5,7,8)",CN(CCS(=O)(=O)N)C,-817.096029952172,6.379624651267707,1530.970794601827,1237.277597387795,-817.2737387982628,0.1903530657590906,-817.1064474024943,-817.1421300391062,0.1442529502384544,-817.095085952172,0.1912970657590906,0,1.0,4.024899483287101,0.09224926561380443,1500.853421399481,0.1581561511108833,-0.2504054167246877,0.06590688549707892,152.211,1464.893618435636,1.0,21.0,0.1799355868505232,CN(CCS(=O)(=O)N)C,-0.8043644105180473,-0.8160716942561436,0.01090905327418549,-1.122889220474371,0.0,0.593896896978703,0.5819266742629694,-0.866003981222869,4.436012434222884,27.00995978173093,0.0007220771586413707,-1.136189276475276,0.0,0.56677916635052,0.5644185281015817,0.3179118737106192,CN(CCS(=O)(=O)N)C,1.909683988497439,1.124204252234933,0.2213188667581122,2.280899875370358,9.99889011086959,13.71910012462964,6.944145234018331,1.18244032336889,255.0122579493823,242.1351905091811,0.2092504019874504,2.321911315991954,9.99886046085918,13.67808868400805,6.941517870906829,0.7019167585392222
"InChI=1S/C9H11NO4S/c1-2-14-9(11)7-5-3-4-6-8(7)15(10,12)13/h3-6H,2H2,1H3,(H2,10,12,13)",CCOC(=O)c1ccccc1S(=O)(=O)N,-1102.498777598479,2.361254188741495,3405.363453008442,1761.445382529737,-1102.65028943068,0.2158300427232578,-1102.513046308604,-1102.554653029089,0.1599536121136946,-1102.497833349455,0.2167740427232578,0,1.0,4.404810380008731,0.1670441626125012,3547.659949919404,0.1081744317125659,-0.2752185943250671,-0.05886973089993529,229.2502,1855.078521640907,1.0,26.0,0.2015613116457467,CCOC(=O)c1ccccc1S(=O)(=O)N,-0.9209523609644765,-0.7853085676592406,0.0007010476170324388,-0.9697079800229063,0.0,0.5522547063097383,0.5500159184915727,-0.8730568387467591,4.327985090519215,-50.29320819413823,0.0006726997659480993,-1.122782743977219,0.0,0.5622203123151325,0.5606384728293707,0.3012495989721826,CCOC(=O)c1ccccc1S(=O)(=O)N,2.065804964466442,1.235032453380388,0.2043376404901984,2.319805157555271,9.998722699765949,13.68019484244473,6.876927052467822,1.231725514812131,549.0829760553229,255.1517483237001,0.2062917552376211,2.344202272906813,9.998722490242542,13.65579772709319,6.92866822595701,0.7161623456143078
"InChI=1S/C9H13NO4S/c1-13-6-7-14-8-4-2-3-5-9(8)15(10,11)12/h2-5H,6-7H2,1H3,(H2,10,11,12)",COCCOc1ccccc1S(=O)(=O)N,-1103.634131931424,6.423005337767162,3378.663296867121,1994.792557131804,-1103.801582332249,0.2389525673077597,-1103.64888096496,-1103.690809528742,0.1822749699902821,-1103.63318761624,0.2398965675407924,0,1.0,8.327348919894137,0.1423976659117519,3528.709548580489,0.1136298911502665,-0.2560275570620184,-0.02876777476148532,231.266,1385.315017584601,1.0,28.0,0.224202849190222,COCCOc1ccccc1S(=O)(=O)N,-0.8478667044843171,-0.8598299090333026,0.0005721895002028145,-1.118122145355323,0.0,0.5639543153624681,0.5611799018664211,-0.864774411984239,3.763858080701839,24.27521233938522,0.0006068574753559027,-1.122943272826372,0.0,0.5625435111038168,0.5597380459687209,0.3019311776404778,COCCOc1ccccc1S(=O)(=O)N,2.090527920185106,1.201018811298828,0.2143419309416146,2.346878668923924,9.998676845823722,13.65312133107608,6.937606235230854,1.224540955760262,239.7818713291659,313.2088915553006,0.2111069055636327,2.364110378943724,9.99864684815405,13.63588962105628,6.932043532731635,0.7232282904246353
