Name,smiles_boronic_acid,inchi_boronic_acid,CF3,OMe
CF3,OB(O)C1=CC=C(C(F)(F)F)C=C1,"InChI=1S/C7H6BF3O2/c9-7(10,11)5-1-3-6(4-2-5)8(12)13/h1-4,12-13H",1,0
OMe,OB(O)C1=CC=C(OC)C=C1,"InChI=1S/C7H9BO3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5,9-10H,1H3",0,1
